percentile,year,variable_code,value
p99p100,2022,sptinc_z_UY,0.1573
p99p100,2023,sptinc_z_UY,0.2135
p99p100,2024,sptinc_z_UY,0.2135
p0p50,1980,sptinc_z_UY,0.1361
p0p50,1981,sptinc_z_UY,0.1361
p0p50,1982,sptinc_z_UY,0.1361
p0p50,1983,sptinc_z_UY,0.1361
p0p50,1984,sptinc_z_UY,0.1361
p0p50,1985,sptinc_z_UY,0.1361
p0p50,1986,sptinc_z_UY,0.1361
p0p50,1987,sptinc_z_UY,0.1361
p0p50,1988,sptinc_z_UY,0.1361
p0p50,1989,sptinc_z_UY,0.1361
p0p50,1990,sptinc_z_UY,0.1361
p0p50,1991,sptinc_z_UY,0.1361
p0p50,1992,sptinc_z_UY,0.1361
p0p50,1993,sptinc_z_UY,0.1361
p0p50,1994,sptinc_z_UY,0.1361
p0p50,1995,sptinc_z_UY,0.1361
p0p50,1996,sptinc_z_UY,0.1361
p0p50,1997,sptinc_z_UY,0.1361
p0p50,1998,sptinc_z_UY,0.1361
p0p50,1999,sptinc_z_UY,0.1361
p0p50,2000,sptinc_z_UY,0.1361
p0p50,2001,sptinc_z_UY,0.1303
p0p50,2002,sptinc_z_UY,0.1294
p0p50,2003,sptinc_z_UY,0.1237
p0p50,2004,sptinc_z_UY,0.1259
p0p50,2005,sptinc_z_UY,0.1296
p0p50,2006,sptinc_z_UY,0.1296
p0p50,2007,sptinc_z_UY,0.1296
p0p50,2008,sptinc_z_UY,0.134
p0p50,2009,sptinc_z_UY,0.14
p0p50,2010,sptinc_z_UY,0.1463
p0p50,2011,sptinc_z_UY,0.1559
p0p50,2012,sptinc_z_UY,0.1609
p0p50,2013,sptinc_z_UY,0.1647
p0p50,2014,sptinc_z_UY,0.1619
p0p50,2015,sptinc_z_UY,0.1597
p0p50,2016,sptinc_z_UY,0.1551
p0p50,2017,sptinc_z_UY,0.1526
p0p50,2018,sptinc_z_UY,0.1503
p0p50,2019,sptinc_z_UY,0.1509
p0p50,2020,sptinc_z_UY,0.1469
p0p50,2021,sptinc_z_UY,0.1447
p0p50,2022,sptinc_z_UY,0.1525
p0p50,2023,sptinc_z_UY,0.1449
p0p50,2024,sptinc_z_UY,0.1449
p99p100,1980,sptinc_z_KI,0.0885
p99p100,1981,sptinc_z_KI,0.09
p99p100,1982,sptinc_z_KI,0.0914
p99p100,1983,sptinc_z_KI,0.0929
p99p100,1984,sptinc_z_KI,0.0944
p99p100,1985,sptinc_z_KI,0.096
p99p100,1986,sptinc_z_KI,0.0976
